"Name","Stack","Comment","Type","Class","File"
"get-mouse-xy","hWnd -- x y","W32F","COLON","","Generic.htm#0"
"Generic-Window","","","CLASS","","Generic.htm#1"
"hWnd","","","INT ivar","Generic-Window","Generic.htm#2"
"SendMessage:Self","lParam wParam message -- result","","COLON","Generic-Window","Generic.htm#3"
"SendMessage:SelfDrop","lParam wParam message --","","COLON","Generic-Window","Generic.htm#4"
"Classinit:","--","","METHOD","Generic-Window","Generic.htm#5"
"GetHandle:","-- hWnd","","METHOD","Generic-Window","Generic.htm#6"
"PutHandle:","hWnd --","","METHOD","Generic-Window","Generic.htm#7"
"ZeroWindow:","--","","METHOD","Generic-Window","Generic.htm#8"
"DestroyWindow:","--","","METHOD","Generic-Window","Generic.htm#9"
"Close:","--","","METHOD","Generic-Window","Generic.htm#10"
"Paint:","--","","METHOD","Generic-Window","Generic.htm#11"
"IsVisible?:","-- f","","METHOD","Generic-Window","Generic.htm#12"
"SetRedraw:","f --","","METHOD","Generic-Window","Generic.htm#13"
"Show:","state --","","METHOD","Generic-Window","Generic.htm#14"
"GDIFlush:","--","","METHOD","Generic-Window","Generic.htm#15"
"Update:","--","","METHOD","Generic-Window","Generic.htm#16"
"Scroll:","x y --","","METHOD","Generic-Window","Generic.htm#17"
"Move:","x y w h --","","METHOD","Generic-Window","Generic.htm#18"
"SetWindowPos:","x y --","","METHOD","Generic-Window","Generic.htm#19"
"GetWindowRect:","-- left top right bottom","","METHOD","Generic-Window","Generic.htm#20"
"SetMenu:","MenuHandle --","","METHOD","Generic-Window","Generic.htm#21"
"SetText:","addr len \ text$ --","","METHOD","Generic-Window","Generic.htm#22"
"GetText:","-- addr len","","METHOD","Generic-Window","Generic.htm#23"
"SetTextAlign:","flag --","","METHOD","Generic-Window","Generic.htm#24"
"GetDC:","-- hdc","","METHOD","Generic-Window","Generic.htm#25"
"GetWindowDC:","-- hdc","","METHOD","Generic-Window","Generic.htm#26"
"ReleaseDC:","hdc --","","METHOD","Generic-Window","Generic.htm#27"
"BeginPaint:","ps -- hdc","","METHOD","Generic-Window","Generic.htm#28"
"EndPaint:","ps --","","METHOD","Generic-Window","Generic.htm#29"
"GetClientRect:","rect --","","METHOD","Generic-Window","Generic.htm#30"
"GetWindowLong:","index -- value","","METHOD","Generic-Window","Generic.htm#31"
"SetWindowLong:","value index -- oldval","","METHOD","Generic-Window","Generic.htm#32"
"GetStyle:","-- style","","METHOD","Generic-Window","Generic.htm#33"
"SetStyle:","style --","","METHOD","Generic-Window","Generic.htm#34"
"+Style:","style --","","METHOD","Generic-Window","Generic.htm#35"
"-Style:","style --","","METHOD","Generic-Window","Generic.htm#36"
"SetFocus:","--","","METHOD","Generic-Window","Generic.htm#37"
"SetForegroundWindow:","--","","METHOD","Generic-Window","Generic.htm#38"
"SetActiveWindow:","--","","METHOD","Generic-Window","Generic.htm#39"
"MessageBox:","szText szTitle style -- result","","METHOD","Generic-Window","Generic.htm#40"
"InvalidateRect:","bgflag rectangle --","","METHOD","Generic-Window","Generic.htm#41"
"GetDlgItem:","id -- handle","","METHOD","Generic-Window","Generic.htm#42"
"GetDlgItemText:","addr len id -- len","","METHOD","Generic-Window","Generic.htm#43"
"SetDlgItemText:","addr len id --","","METHOD","Generic-Window","Generic.htm#44"
"SetDlgItemFocus:","id --","","METHOD","Generic-Window","Generic.htm#45"
"SelectDlgItemAll:","id --","","METHOD","Generic-Window","Generic.htm#46"
"IsDlgButtonChecked:","id -- f1","","METHOD","Generic-Window","Generic.htm#47"
"CheckDlgButton:","uCheck id --","","METHOD","Generic-Window","Generic.htm#48"
"SetDlgItemAlign:","flag id --","","METHOD","Generic-Window","Generic.htm#49"
"SetAlign:","flag id --","DEPRECATED","METHOD","Generic-Window","Generic.htm#50"
"EnableDlgItem:","flag id --","","METHOD","Generic-Window","Generic.htm#51"
"ShowDlgItem:","flag id --","","METHOD","Generic-Window","Generic.htm#52"
"CheckRadioButton:","check_id first_id last_id --","","METHOD","Generic-Window","Generic.htm#53"
"SendDlgItemMessage:","lParam wParam message id -- long","","METHOD","Generic-Window","Generic.htm#54"
"SetDlgItemFont:","FontObject id --","","METHOD","Generic-Window","Generic.htm#55"
